token_id,trait_type,value
24526111578964355427464788391204295010760968458155617817566649421390785021952,power,50
24526111578964355427464788391204295010760968458155617817566649421390785021952,defense,12
24526111578964355427464788391204295010760968458155617817566649421390785021952,magic,11
24526111578964355427464788391204295010760968458155617817566649421390785021952,speed,17
24526111578964355427464788391204295010760968458155617817566649421390785021952,luck,10
token_id,trait_type,value
24526111578964355427464788391204295010760968458155617817575872793427639797760,power,50
24526111578964355427464788391204295010760968458155617817575872793427639797760,defense,12
24526111578964355427464788391204295010760968458155617817575872793427639797760,magic,11
24526111578964355427464788391204295010760968458155617817575872793427639797760,speed,17
24526111578964355427464788391204295010760968458155617817575872793427639797760,luck,10
token_id,trait_type,value
24526111578964355427464788391204295010760968458155617817585096165464494573568,power,50
24526111578964355427464788391204295010760968458155617817585096165464494573568,defense,12
24526111578964355427464788391204295010760968458155617817585096165464494573568,magic,11
24526111578964355427464788391204295010760968458155617817585096165464494573568,speed,17
24526111578964355427464788391204295010760968458155617817585096165464494573568,luck,10
token_id,trait_type,value
40785833732304342849735419653626615027421227776535634758979019327817172125696,power,42
40785833732304342849735419653626615027421227776535634758979019327817172125696,defense,24
40785833732304342849735419653626615027421227776535634758979019327817172125696,magic,0
40785833732304342849735419653626615027421227776535634758979019327817172125696,speed,75
40785833732304342849735419653626615027421227776535634758979019327817172125696,luck,9
token_id,trait_type,value
49724988771025772161509745068211007263520904890111217014412175772893216507904,power,12
49724988771025772161509745068211007263520904890111217014412175772893216507904,defense,8
49724988771025772161509745068211007263520904890111217014412175772893216507904,magic,25
49724988771025772161509745068211007263520904890111217014412175772893216507904,speed,5
49724988771025772161509745068211007263520904890111217014412175772893216507904,luck,0
token_id,trait_type,value
49724988771025772161509745068211007263520904890111217014421399144930071283712,power,12
49724988771025772161509745068211007263520904890111217014421399144930071283712,defense,8
49724988771025772161509745068211007263520904890111217014421399144930071283712,magic,25
49724988771025772161509745068211007263520904890111217014421399144930071283712,speed,5
49724988771025772161509745068211007263520904890111217014421399144930071283712,luck,0
