,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
991,128.69,0.9937217350909862,4724,10000,,Orange,Pink,Lumberjack Shirt,Bored,Holographic,Horns
992,57.0,1.0953410811226385,2092,10000,,Aquamarine,Pink,Toga,Phoneme Wah,Robot,Irish Boho
993,0.9153376374105741,0.8999718478068478,7937,10000,,New Punk Blue,Tan,Bandolier,Bored Unshaven,Robot,
995,71.0,0.8987394649613881,7970,10000,,New Punk Blue,Black,Guayabera,Bored Unshaven Cigarette,Bloodshot,Beanie
996,2.0,1.1216494634883658,1608,10000,,,,,,,
997,9.0,1.0077668649203737,4245,10000,,,,,,,
998,1.25,0.9776758245304268,5297,10000,,Orange,Dark Brown,Bone Necklace,Phoneme Vuh,Sleepy,Sushi Chef Headband
999,94.99,1.0292676583335427,3610,10000,Silver Hoop,New Punk Blue,Black,Striped Tee,Bored,Crazy,S&m Hat
1000,150.9,1.0168541547604528,3972,10000,Silver Hoop,Yellow,Brown,Prison Jumpsuit,Bored Unshaven,Bloodshot,Short Mohawk
1001,1.5,0.9851388541597568,5014,10000,,Army Green,Tan,,Rage,Eyepatch,Bayc Hat Black
1002,115.0,0.7690919354770612,9910,10000,,,,,,,
1003,6.69,1.216771920521892,538,10000,Gold Hoop,Aquamarine,Tan,Sleeveless Logo T,Small Grin,Bloodshot,Bowler
1004,123.99,1.0943004849444955,2115,10000,Silver Hoop,Orange,Zombie,Hawaiian,Bored Unshaven,Sleepy,Commie Hat
1005,1.99,1.0966590851332016,2061,10000,,Army Green,Cream,Sailor Shirt,Bored Cigar,Blindfold,Bayc Hat Black
1006,0.99,1.09225132374642,2154,10000,,Blue,Robot,Black T,Discomfort,Hypnotized,Cowboy Hat
1007,0.0,0.915695959904481,7438,10000,,Purple,Black,Bayc T Black,Grin,Bored,Prussian Helmet
1008,4.0,1.069430445353571,2627,10000,,,,,,,
1009,3.0,0.8239758496360187,9534,10000,,,,,,,
1010,4.85,0.9447965134841646,6429,10000,,Yellow,Cheetah,Leather Punk Jacket,Bored Unshaven,Angry,Beanie
1011,90.0,1.170084508973395,981,10000,Gold Hoop,Gray,Golden Brown,Sleeveless T,Bored Unshaven Cigarette,Sleepy,Irish Boho
1012,62.0,1.0208918368749662,3854,10000,,Gray,Cream,Admirals Coat,Bored,Robot,Sushi Chef Headband
1013,49.0,0.7971087915219013,9789,10000,,New Punk Blue,Dark Brown,,Bored,3d,Halo
1014,98.75,0.9165181611346704,7400,10000,,Army Green,Brown,Black T,Grin Multicolored,Sleepy,
1015,137.5,1.3505906249957094,44,10000,Silver Stud,Army Green,Robot,Tweed Suit,Grin Gold Grill,Sunglasses,Bunny Ears
1016,1.5,1.1424788838840207,1304,10000,,,,,,,
1017,10.0,1.1971555991811444,708,10000,,Army Green,White,Black Suit,Bored Pipe,Blindfold,Halo
1019,4.49,1.0655845258255898,2723,10000,,,,,,,
1020,84.0,1.2021976039483169,657,10000,Silver Hoop,Blue,Gray,Tanktop,Phoneme  ooo,Crazy,Short Mohawk
1022,5.0,0.9857502615732456,4995,10000,,Yellow,Gray,Navy Striped Tee,Grin,Sunglasses,Bowler
1023,2.5,1.0398147924452932,3327,10000,,Aquamarine,Robot,,Bored Bubblegum,Sleepy,Safari
1024,8.75,0.8479407117528233,9152,10000,,Yellow,Dark Brown,,Phoneme Vuh,Bored,
1025,1.2,1.005448823557735,4328,10000,,Blue,Black,Puffy Vest,Phoneme Oh,Cyborg,
1026,16.125,0.909678455765194,7619,10000,,,,,,,
1027,114.99,0.8261591771551179,9506,10000,,Orange,Cream,Leather Jacket,Bored,Sleepy,
1028,19.91,1.0383778917965671,3370,10000,,Army Green,Brown,,Grin Diamond Grill,Sunglasses,Party Hat 1
1029,0.725,0.8188605787693644,9585,10000,,Aquamarine,Dark Brown,Striped Tee,Dumbfounded,Bored,Beanie
1030,7.0,1.0895742562808393,2206,10000,Diamond Stud,Army Green,Golden Brown,Guayabera,Phoneme Vuh,Sunglasses,
1031,6.3,0.947937961248427,6320,10000,,,,,,,
1032,82.75,1.1523302251851963,1176,10000,,Army Green,Cheetah,Bayc T Red,Rage,Eyepatch,Bandana Blue
1033,70.0,0.813273659868925,9651,10000,,Yellow,Brown,Wool Turtleneck,Dumbfounded,Bored,
1034,6.99,0.9455866121168048,6399,10000,,New Punk Blue,Golden Brown,,Bored Cigarette,Hypnotized,
1035,45.69,1.065556237837213,2724,10000,,Gray,Cream,Bone Necklace,Rage,Laser Eyes,
1036,2.3,1.1130040365254965,1752,10000,Gold Hoop,Blue,Black,Blue Dress,Bored Unshaven,Heart,Beanie
1037,15.0,1.255503443727087,286,10000,Silver Hoop,Gray,Blue,Toga,Grin Multicolored,Wide Eyed,Bayc Flipped Brim
1038,54.0,1.0156407631142217,4014,10000,,Yellow,Zombie,Puffy Vest,Dumbfounded,Sleepy,S&m Hat
1039,101.0,0.8651771920568639,8824,10000,,New Punk Blue,Dark Brown,Vietnam Jacket,Dumbfounded,Closed,
1040,158.69,1.0636833765238054,2768,10000,,Gray,Dark Brown,Caveman Pelt,Bored Unshaven Kazoo,Sleepy,Bowler
1041,74.0,1.055402773651411,2946,10000,,Yellow,Brown,Biker Vest,Bored Bubblegum,Sunglasses,Bunny Ears
1042,36.66,1.032544995242151,3527,10000,Silver Stud,Yellow,Gray,Leather Jacket,Jovial,Sad,
1043,87.0,0.913057636843167,7522,10000,,Yellow,Black,Leather Punk Jacket,Grin,Zombie,
1045,71.0,1.084845152685857,2310,10000,,,,,,,
1046,0.3199,0.8323658105892755,9411,10000,,Purple,Brown,Black T,Dumbfounded,Bloodshot,
1047,2.25,0.88431322419332,8384,10000,,Aquamarine,Tan,Puffy Vest,Bored,Sleepy,Halo
1048,1.3,1.1429764186863862,1291,10000,Gold Hoop,Orange,Cream,Tweed Suit,Bored Unshaven,Sad,Army Hat
1049,1.25,0.994434402775498,4701,10000,,,,,,,
1050,0.55,1.062414465496716,2793,10000,,New Punk Blue,Brown,Stunt Jacket,Bored Cigar,Eyepatch,Bowler
1051,77.69,0.958570898700678,5946,10000,,New Punk Blue,Zombie,Black T,Dumbfounded,Robot,
1052,99.999,1.2016821284712498,661,10000,Gold Hoop,Purple,Red,Guayabera,Grin,Heart,Bayc Flipped Brim
1053,155.0,0.7946999387675829,9813,10000,,Army Green,Dark Brown,Hawaiian,Bored,Bored,Commie Hat
1054,14.59,0.8710041025436683,8691,10000,,Blue,Gray,Vietnam Jacket,Bored,Closed,Beanie
1055,65.0,0.93687235136145,6729,10000,,Yellow,Gray,Tweed Suit,Bored,Sleepy,S&m Hat
1056,0.72,1.0776343712171446,2454,10000,,,,,,,
1057,108.0,0.9905557829309536,4830,10000,Gold Hoop,Blue,Zombie,Work Vest,Bored Cigarette,Bored,
1058,8.0,0.8816191449374876,8435,10000,,New Punk Blue,Dark Brown,,Phoneme  ooo,Bloodshot,Halo
1059,109.0,1.0548913270299425,2958,10000,,Aquamarine,Zombie,,Bored Kazoo,Crazy,Cowboy Hat
1060,123.0,1.062817401554617,2782,10000,,,,,,,
1061,52.99,0.8760091500278151,8577,10000,,Army Green,Dark Brown,Guayabera,Dumbfounded,Sad,
1062,89.55,0.9217702718348028,7214,10000,Gold Hoop,New Punk Blue,Tan,,Bored,Bloodshot,Bowler
1063,38.0,1.039539873445165,3332,10000,Silver Stud,New Punk Blue,Tan,Striped Tee,Bored,Bloodshot,Bunny Ears
1064,2.0,1.0781910930514105,2440,10000,,New Punk Blue,Brown,Leather Jacket,Grin Multicolored,3d,Bayc Hat Red
1065,143.0,1.0212951767575376,3842,10000,,Blue,Zombie,Black T,Bored Unshaven Pipe,Bored,Halo
1066,2.5,0.991792005519803,4798,10000,,,,,,,
1067,23.9,0.9963273395100882,4636,10000,,Orange,White,,Tongue Out,Sad,Irish Boho
1068,11.0,0.95613208289782,6033,10000,,,,,,,
1069,42.0,1.1676922074749747,996,10000,,,,,,,
1070,0.575,0.9438886648142109,6466,10000,,New Punk Blue,Black,Work Vest,Bored Unshaven,Zombie,Bayc Flipped Brim
1071,83.9,1.138452554014814,1366,10000,Silver Stud,Aquamarine,White,Sleeveless T,Bored Cigarette,Bloodshot,Bayc Flipped Brim
1072,14.98,0.8547860093672257,9021,10000,,Orange,Tan,,Bored,Coins,
1073,95.69,0.9987607838110816,4540,10000,,Gray,Golden Brown,Tanktop,Phoneme Vuh,Bored,Bandana Blue
1074,91.23,0.7869856048046049,9851,10000,,,,,,,
1078,25.0,1.2138529820379909,556,10000,Gold Hoop,Purple,Dark Brown,Lab Coat,Grin Multicolored,Angry,Beanie
1080,1.3,1.0206516965351156,3864,10000,,New Punk Blue,Zombie,Toga,Grin,Closed,Sushi Chef Headband
1081,68.69,1.0017862517021954,4451,10000,,Aquamarine,Cream,Bone Tee,Grin,Blindfold,Army Hat
1082,4.0,0.9528955672674072,6153,10000,,Purple,Dark Brown,Sailor Shirt,Grin,Wide Eyed,Faux Hawk
1083,0.55,0.9177898773700488,7354,10000,Gold Stud,Purple,White,,Bored Unshaven,Bored,Halo
1084,0.35,1.1522781961607973,1177,10000,,,,,,,
1085,0.4,0.8648748595621756,8834,10000,,Purple,Red,Black T,Bored,Bored,Safari
1086,4.0,0.7796423771662782,9883,10000,,Purple,Dark Brown,Tuxedo Tee,Bored,Sleepy,
1087,86.88,0.9523919759637344,6168,10000,,Orange,Pink,Bayc T Red,Grin,Closed,Beanie
1088,2.75,0.8937058679914232,8108,10000,Silver Stud,Aquamarine,Dmt,,Bored,Bored,Cowboy Hat
1089,1.24,0.8907419552209334,8204,10000,,Army Green,Black,Puffy Vest,Bored,Closed,Stuntman Helmet
1090,113.0,1.1355051438280035,1413,10000,,,,,,,
1091,69.6969,1.0532098393167575,2993,10000,,,,,,,
1092,6.5,0.993688634765148,4726,10000,Silver Stud,Purple,Tan,Striped Tee,Bored,Bored,Vietnam Era Helmet
1094,8.0,1.217857246523186,530,10000,Silver Stud,Blue,Black,Leather Jacket,Bored Party Horn,Sleepy,Safari
1095,0.333,1.134128091435319,1440,10000,Gold Stud,New Punk Blue,Pink,,Bored Pipe,Robot,Bayc Flipped Brim
1096,0.4,0.9240891656746604,7146,10000,,,,,,,
1097,36.69,0.987060593802006,4942,10000,,,,,,,
1098,0.40197526966166075,1.0232962610941132,3791,10000,,,,,,,
1099,16.75,0.8554144227401856,9007,10000,,Purple,Tan,Work Vest,Bored,Bored,Army Hat
1100,14.0,1.1462034762113733,1264,10000,Cross,Orange,Dark Brown,,Grin Multicolored,Sunglasses,Vietnam Era Helmet
1101,92.69,0.9597515553477785,5906,10000,,,,,,,
1102,6.85,1.0062245425187957,4302,10000,Gold Hoop,Blue,Tan,Striped Tee,Bored,Bored,Halo
1105,0.899,0.8377907582105687,9329,10000,,New Punk Blue,Brown,Lumberjack Shirt,Bored,Bloodshot,Cowboy Hat
1106,85.0,0.8955566599503052,8063,10000,,Yellow,Gray,Cowboy Shirt,Bored,Angry,
1108,98.0,0.9591390906353066,5933,10000,,Yellow,Cream,Leather Jacket,Bored,X Eyes,Horns
1109,1.18,0.9810043649060018,5173,10000,,,,,,,
1110,5.0,0.9824743933262462,5117,10000,Silver Hoop,Army Green,Robot,Black T,Bored Unshaven,Zombie,
1111,1.99,1.0503870237439532,3046,10000,,,,,,,
1113,200.0,1.006186282317009,4305,10000,,Blue,Gray,Bandolier,Phoneme Vuh,3d,Beanie
1114,200.0,1.0430959869711285,3249,10000,,Purple,Death Bot,Leather Jacket,Bored Cigarette,Heart,Cowboy Hat
1115,1.9,0.9648984754447902,5732,10000,,,,,,,
1116,1.44,1.240944863467034,355,10000,Silver Stud,Aquamarine,Dark Brown,Hip Hop,Tongue Out,X Eyes,Irish Boho
1118,72.9,1.0559875570359545,2932,10000,,Aquamarine,Tan,Sailor Shirt,Bored Unshaven Kazoo,X Eyes,
1119,0.95,1.2871611468612665,160,10000,Diamond Stud,Army Green,Dark Brown,Space Suit,Grin,X Eyes,Party Hat 1
1120,0.55,0.907033495630321,7708,10000,,Orange,Brown,,Dumbfounded,Robot,Bayc Flipped Brim
1121,2.0,1.2531033484911598,302,10000,Gold Hoop,Yellow,Brown,Leather Punk Jacket,Grin Multicolored,Coins,Bayc Hat Black
1122,57.25,1.013520737557292,4067,10000,,Aquamarine,Blue,Sleeveless T,Phoneme Wah,Bored,Sushi Chef Headband
1123,136.5,0.8542773859386203,9032,10000,,Yellow,Blue,Bayc T Black,Grin,Bored,
1124,0.33,0.8936294273729425,8111,10000,,Aquamarine,Tan,,Bored Cigarette,Closed,Bayc Flipped Brim
1125,0.35,0.7862532687323088,9856,10000,,New Punk Blue,Black,Leather Punk Jacket,Bored Unshaven,Bored,
1126,0.185,0.940428043152282,6599,10000,,Blue,Brown,Wool Turtleneck,Dumbfounded,Angry,Fez
1127,5.0,0.865801379905534,8805,10000,,New Punk Blue,White,Guayabera,Bored Unshaven,Sleepy,
1128,88.0,0.902349784762856,7868,10000,,Yellow,Dark Brown,Bayc T Red,Bored,Hypnotized,Beanie
1129,0.235,0.918919779193768,7316,10000,,Orange,Dark Brown,Caveman Pelt,Phoneme Vuh,Bored,Short Mohawk
1130,125.0,0.9892858001617404,4866,10000,Silver Stud,Blue,Brown,,Phoneme Oh,Sleepy,Bunny Ears
1131,3.99,0.9873508998568522,4928,10000,,Yellow,Brown,Bone Tee,Bored Unshaven Bubblegum,Coins,
1132,46.69,1.2294711250981931,435,10000,Diamond Stud,Army Green,Dark Brown,Prison Jumpsuit,Phoneme Oh,Crazy,Army Hat
1133,127.95,1.0293204427474616,3607,10000,,Blue,Dark Brown,Caveman Pelt,Jovial,Eyepatch,Vietnam Era Helmet
1134,0.19,0.9192335765244968,7305,10000,,Blue,Red,Vietnam Jacket,Discomfort,Bored,
1135,1.59,1.2705298043288782,224,10000,Diamond Stud,New Punk Blue,Dark Brown,Leather Punk Jacket,Phoneme  ooo,Hypnotized,Cowboy Hat
1136,202.0,0.986002090110629,4985,10000,,Gray,Noise,Caveman Pelt,Phoneme  ooo,Bored,
1137,130.0,1.2232052583099655,482,10000,Gold Stud,Gray,Tan,Bayc T Black,Bored Unshaven Cigar,Bored,Horns
1138,139.0,0.8806791245202378,8453,10000,,New Punk Blue,Black,Sailor Shirt,Bored,Coins,Bayc Hat Black
1139,5.0,1.1016253486754712,1950,10000,,,,,,,
1140,222.0,0.941878189371098,6548,10000,,,,,,,
1141,144.0,1.079474504043895,2417,10000,,Yellow,Pink,Bayc T Red,Grin Diamond Grill,Sad,Beanie
1142,0.89,1.0476679527967645,3126,10000,,,,,,,
1143,92.89,0.9304095476057636,6952,10000,,Yellow,Gray,Navy Striped Tee,Grin,Bloodshot,Short Mohawk
1144,0.95,1.0624789500542378,2792,10000,,Army Green,Black,Admirals Coat,Grin,X Eyes,Sushi Chef Headband
1146,11.98,1.2521251114981142,306,10000,,,,,,,
1147,111.0,0.9596163967819163,5912,10000,,New Punk Blue,Tan,Tuxedo Tee,Jovial,Bored,Horns
1148,105.0,0.8505079293087175,9108,10000,,Orange,Zombie,,Bored,Sleepy,Halo
1149,70.0,1.2404634226002538,361,10000,Silver Hoop,Army Green,Pink,Wool Turtleneck,Bored Bubblegum,Sad,Bayc Hat Black
1150,76.69,0.7875956881518006,9846,10000,,Blue,Black,,Bored,Wide Eyed,Fez
1151,97.0,0.9425943560696608,6524,10000,,,,,,,
1154,35.0,1.037193938182177,3397,10000,,,,,,,
1155,62.5,1.0080928253501444,4234,10000,,,,,,,
1158,100.0,1.0466905692870376,3150,10000,,New Punk Blue,Noise,,Phoneme Vuh,Eyepatch,
1159,106.9,0.9264777456381732,7068,10000,,Army Green,Tan,Biker Vest,Bored Unshaven,Crazy,Cowboy Hat
1160,1.48,1.052296448319579,3017,10000,,Army Green,Gray,Pimp Coat,Dumbfounded,3d,Short Mohawk
1161,7.5,1.087543469361168,2241,10000,,,,,,,
1162,120.0,1.1567396855629746,1126,10000,Silver Hoop,Yellow,Golden Brown,Toga,Jovial,Bloodshot,Bayc Hat Black
1163,4.2,0.9076926305262129,7681,10000,,Aquamarine,Dark Brown,Caveman Pelt,Dumbfounded,Bored,Bowler
1164,68.3565,1.027997058394663,3653,10000,,Blue,Cream,Hawaiian,Dumbfounded,X Eyes,Irish Boho
1165,110.0,0.9541994551329672,6102,10000,,Blue,Blue,Vietnam Jacket,Bored Cigarette,Sleepy,Cowboy Hat
1166,0.18,0.9642559983928818,5748,10000,,Orange,Brown,Blue Dress,Jovial,Bored,Horns
1167,3.85,1.115997883893999,1703,10000,Silver Stud,Army Green,Cream,Striped Tee,Dumbfounded,Bloodshot,Bunny Ears
1168,46.0,0.9638034589602106,5763,10000,Silver Hoop,Purple,Blue,Tuxedo Tee,Jovial,Bored,
1169,40.68,1.0206514869450738,3865,10000,,New Punk Blue,Black,Guayabera,Bored Pipe,Crazy,Fez
1171,2.1199,1.0346700623571383,3467,10000,,Purple,Blue,Sailor Shirt,Phoneme L,Heart,Short Mohawk
1172,0.42,0.9376914456446702,6704,10000,,,,,,,
1175,109.0,0.9307807934136748,6933,10000,,,,,,,
1176,0.13,0.9126171407168864,7532,10000,,Orange,Golden Brown,Guayabera,Bored Unshaven,Wide Eyed,Army Hat
1177,0.12,0.8516745506776192,9083,10000,,Purple,Brown,,Small Grin,Bored,Horns
1178,0.5,1.1008813508391102,1966,10000,Gold Stud,Orange,Black,Bone Necklace,Bored Unshaven,Wide Eyed,Horns
1179,132.69,1.0722740248587663,2557,10000,,,,,,,
1180,0.14,1.0777154476318458,2450,10000,,,,,,,
1181,71.0,1.0042571730999414,4369,10000,,New Punk Blue,Gray,Vietnam Jacket,Bored,Blindfold,Bayc Hat Red
1182,0.39,0.9364286339421958,6745,10000,,Orange,Black,Puffy Vest,Bored Unshaven,Wide Eyed,Party Hat 1
1183,318.0,1.0048067645687,4353,10000,Silver Stud,Army Green,Black,Bayc T Black,Bored,Blue Beams,
1184,8.0,0.9794706239935568,5227,10000,Silver Hoop,New Punk Blue,Golden Brown,Kings Robe,Bored Unshaven,Sad,
1185,0.15,1.107275494244562,1845,10000,Silver Stud,Blue,Black,Lumberjack Shirt,Bored Unshaven,Robot,Safari
1186,78.0,0.9291697921912764,6977,10000,,Purple,Brown,,Jovial,3d,Safari
1187,3.6014557268265706,0.9235475619087814,7161,10000,,Purple,Cream,,Phoneme Oh,Sleepy,Cowboy Hat
1188,0.14,1.0277347836061794,3660,10000,,Army Green,Pink,Puffy Vest,Dumbfounded,Closed,Party Hat 1
1189,109.5,1.1674348217584545,999,10000,Gold Hoop,Yellow,Dark Brown,Puffy Vest,Small Grin,Closed,S&m Hat
1190,85.0,0.9803340224809208,5199,10000,,Aquamarine,Dark Brown,Bayc T Black,Bored Cigarette,Blindfold,Irish Boho
1191,80.0,0.9106037824314585,7588,10000,,Aquamarine,Dmt,Black T,Bored Unshaven,Heart,
1192,79.8,1.008169977298519,4231,10000,,Aquamarine,Pink,Sleeveless T,Bored Cigarette,Eyepatch,S&m Hat
1193,71.987654321,0.956960364748164,5998,10000,,Aquamarine,Dark Brown,Toga,Bored Cigarette,Wide Eyed,Spinner Hat
1194,76.9,0.9186219615917758,7324,10000,,Blue,Gray,,Bored Unshaven,Blindfold,
1195,2.5,1.222281316171152,489,10000,Cross,Army Green,Pink,Pimp Coat,Bored Unshaven,Sleepy,Halo
1196,0.06,0.8912321232118798,8187,10000,,Gray,Brown,Black Holes T,Dumbfounded,3d,
1197,3.0,0.814115674804364,9638,10000,,Yellow,Black,,Grin,Bored,Vietnam Era Helmet
1198,0.78,0.829928969364451,9444,10000,,Blue,Tan,Hip Hop,Bored Unshaven,Bored,
1199,49.5,0.9000002924764205,7935,10000,,Army Green,Blue,,Bored,Sad,Party Hat 2
1200,79.8,0.8363609576417514,9340,10000,,Yellow,Brown,Black T,Bored,Bored,Ww2 Pilot Helm
1201,119.0,0.9583412772658034,5953,10000,,Army Green,Dark Brown,Tie Dye,Jovial,Zombie,
1202,178.8,1.3476358874144905,47,10000,Silver Stud,Army Green,Pink,Prom Dress,Bored Unshaven Pizza,Coins,Fez
1203,0.29,0.9155696976985762,7448,10000,,Orange,Black,Navy Striped Tee,Bored,Sunglasses,Prussian Helmet
1204,1.5,0.769055158186395,9911,10000,,Army Green,Dark Brown,,Bored,Bored,Stuntman Helmet
1206,0.55,0.9283146195053508,7007,10000,,Purple,Golden Brown,Tweed Suit,Bored,Robot,Fez
1207,4.0,1.0231860442958256,3795,10000,,Gray,Gray,Tuxedo Tee,Discomfort,Sleepy,Short Mohawk
1208,58.0,0.8706887525811291,8700,10000,,,,,,,
1209,92.0,0.856205856091535,8990,10000,,Purple,Black,Rainbow Suspenders,Bored Unshaven,Coins,
1210,769.0,1.027845685784185,3657,10000,,Purple,Trippy,,Bored Cigarette,Angry,
1211,125.0,0.890321462364767,8215,10000,,Gray,Dark Brown,Hip Hop,Phoneme Oh,Bored,
1212,17.79,1.0817197384999857,2374,10000,,Purple,Solid Gold,Puffy Vest,Bored,Hypnotized,Halo
1213,71.8,0.8418793686321094,9255,10000,,Gray,Golden Brown,Prison Jumpsuit,Bored,Angry,
1215,66.69,1.1557569285663138,1132,10000,Silver Hoop,Army Green,Red,Toga,Bored Cigarette,Sad,Horns
1216,119.0,0.9111366952424772,7574,10000,,,,,,,
1217,73.0,0.9637120216083342,5765,10000,Silver Hoop,New Punk Blue,Brown,Lumberjack Shirt,Jovial,Closed,
1218,98.6149,1.1156242869258275,1708,10000,,Gray,Gray,Black Holes T,Phoneme Vuh,Hypnotized,Police Motorcycle Helmet
1219,94.99,0.9188690240344328,7318,10000,,Orange,Cream,Tanktop,Bored,Sleepy,Stuntman Helmet
1220,119.0,1.1567905007799135,1125,10000,,,,,,,
1221,6.65,1.0147772876579455,4040,10000,Silver Hoop,Blue,Dark Brown,Lumberjack Shirt,Bored,Sleepy,Army Hat
1222,0.44,0.9065460633099264,7729,10000,,New Punk Blue,Tan,Guayabera,Bored Unshaven,Bored,Faux Hawk
1223,8.6,0.8492652769636637,9125,10000,Silver Hoop,Blue,Gray,,Bored,Wide Eyed,
1225,95.0,0.9576480343913666,5973,10000,,New Punk Blue,Red,Smoking Jacket,Grin,X Eyes,
1226,6.5,1.4064853109541544,10,10000,,,,,,,
1227,3.14,0.8390481817239716,9311,10000,,Blue,Golden Brown,,Bored Cigarette,Bored,
1228,39.3,0.9565444657056834,6011,10000,,Yellow,Cheetah,Bayc T Black,Bored Bubblegum,Bored,
1229,81.0,0.9741674701873076,5414,10000,,Army Green,Red,,Bored Unshaven Cigarette,Bloodshot,Bandana Blue
1230,50.0,1.0808855641255548,2393,10000,,Aquamarine,Black,Wool Turtleneck,Grin Multicolored,Heart,Prussian Helmet
1231,41.0,0.83156942072441,9423,10000,,Orange,Golden Brown,Prison Jumpsuit,Bored Unshaven,Closed,
1232,158.9371,1.0784656733890303,2433,10000,,Army Green,Dark Brown,Black Suit,Phoneme L,Sleepy,Safari
1234,2.5,1.2733640959467774,217,10000,Gold Stud,New Punk Blue,Trippy,Rainbow Suspenders,Bored Unshaven Cigarette,Bored,Horns
1236,147.8,1.089650960484539,2203,10000,,,,,,,
1238,0.5,0.8398097589753006,9300,10000,,Army Green,Cream,,Bored Unshaven,Bloodshot,Horns
1239,54.98,0.9405110403049886,6597,10000,,Purple,Brown,,Rage,Sunglasses,Irish Boho
1240,4.0,0.8255066466583858,9515,10000,Silver Stud,Gray,Brown,Work Vest,Bored,Bored,
1242,0.623,1.058404653693514,2882,10000,,,,,,,
1243,36.69,0.9794389984163006,5229,10000,,New Punk Blue,Brown,Toga,Phoneme Oh,Bloodshot,Bayc Flipped Brim
1244,169.69,1.2204708801053186,507,10000,,Yellow,Death Bot,Bayc T Red,Grin Gold Grill,3d,Party Hat 2
1245,58.69,0.8651987781322157,8822,10000,,Purple,Dark Brown,,Phoneme Oh,Bored,
1246,37.0,0.912443831226994,7539,10000,,,,,,,
1247,90.0,1.1773166627997227,900,10000,Diamond Stud,Orange,Cream,Pimp Coat,Bored,Closed,Army Hat
1248,4.33,0.9912041131590166,4812,10000,Silver Stud,Gray,Black,Bayc T Black,Bored,Bored,Horns
1249,62.69,1.0901917078316283,2188,10000,,Blue,Cream,Lab Coat,Phoneme Vuh,Holographic,Halo
1250,5.0,0.930575829342128,6942,10000,,Blue,Dmt,,Bored Unshaven,Zombie,Cowboy Hat
1251,0.95,1.0943959404495975,2112,10000,,New Punk Blue,White,Bandolier,Bored Unshaven Cigarette,Holographic,Halo
1252,13.0,1.195215560678748,727,10000,Silver Stud,Aquamarine,Golden Brown,Hawaiian,Phoneme L,Eyepatch,Bowler
1253,7.5,0.915134229142364,7465,10000,,Blue,Black,Sleeveless T,Phoneme L,Wide Eyed,
1254,7.0,1.0643091810585723,2756,10000,,Gray,Pink,Caveman Pelt,Bored Unshaven Cigarette,Sad,Police Motorcycle Helmet
1255,0.3,0.920613823274354,7257,10000,,Aquamarine,Gray,Sleeveless Logo T,Grin,Closed,
1256,2.4999240135814262,1.3239084773122551,78,10000,Gold Hoop,Orange,Golden Brown,Tweed Suit,Bored Bubblegum,3d,Party Hat 2
1257,88.0,0.8933842198496553,8117,10000,,Orange,Black,Leather Punk Jacket,Bored,Crazy,Fez
1258,109.0,0.9108085443052892,7585,10000,Silver Stud,Gray,Brown,,Bored Cigarette,Hypnotized,
1259,250.0,1.3184305852952165,92,10000,Gold Hoop,Gray,Trippy,Hawaiian,Bored Bubblegum,Wide Eyed,Beanie
1260,100.69,0.9158793475168564,7430,10000,,New Punk Blue,Dark Brown,Striped Tee,Jovial,Sleepy,Cowboy Hat
1261,4.125,0.9332780465458548,6847,10000,,,,,,,
1262,134.0,1.1570798335084354,1121,10000,,,,,,,
1263,0.74,1.0105132045673475,4173,10000,,Yellow,Golden Brown,Sleeveless T,Jovial,Cyborg,
1264,40.0,1.0652738280783705,2731,10000,,,,,,,
1265,5.75,1.00048670958657,4494,10000,Silver Hoop,Blue,Dark Brown,Cowboy Shirt,Bored,Bored,Commie Hat
1266,9.69,0.9162236894481268,7411,10000,,Orange,Brown,Sailor Shirt,Bored Cigarette,Bored,Bandana Blue
1267,0.6,0.9957780606993062,4651,10000,,Aquamarine,Zombie,Striped Tee,Bored Unshaven Cigarette,Closed,S&m Hat
1269,119.99,1.1046940804801644,1892,10000,Silver Stud,Orange,Brown,Wool Turtleneck,Dumbfounded,Closed,Irish Boho
1270,4.0,0.9400164988998638,6621,10000,,,,,,,
1271,0.49,1.0272522620513658,3681,10000,Silver Hoop,Purple,Brown,Pimp Coat,Bored Cigarette,Hypnotized,
1272,1.89,1.1896625288251856,773,10000,Silver Stud,Gray,Pink,Smoking Jacket,Jovial,Closed,S&m Hat
1273,0.14,0.9205090246216552,7263,10000,,,,,,,
1274,9.866591847832375,1.1194015031748303,1650,10000,,,,,,,
1275,30.0,0.9509024067690484,6227,10000,,New Punk Blue,Golden Brown,Stunt Jacket,Small Grin,Wide Eyed,
1276,33.3,0.8679987387180833,8759,10000,,,,,,,
1278,1.72,0.8906983157049373,8205,10000,,Purple,Gray,Toga,Bored Unshaven,Crazy,
1279,73.0,1.081936354091671,2367,10000,,,,,,,
1280,28.85,0.7270272894330375,9991,10000,,Army Green,Dark Brown,,Bored,Bored,Cowboy Hat
1281,157.0,0.8952970439671813,8069,10000,,,,,,,
1282,1.4655154696439483,0.9496462174680934,6262,10000,,Army Green,Tan,Rainbow Suspenders,Bored Cigarette,Robot,
1283,110.0,1.2118178031567153,571,10000,,,,,,,
1284,180.0,0.9762272623145926,5346,10000,,Army Green,Tan,Space Suit,Bored,Bloodshot,Party Hat 2
